PRODNAME,DENSITY,AVAILSPARF_C,AVGEC_C,CRITWARNING,HRSN_C,PERCENTUSED_C,POC_C,POH_C,SPOR_C,STIME_C,SYSTYPE,TBW_GB_C,MediaError(Binary)
970Evo,256,F,A,0, D ,A,A,A,A,E,Desktop,A,0
970Evo,1024,F,B,0, D ,A,E,D,A,E,Laptop,E,0
970Evo,512,F,D,0, C ,A,G,D,A,G,Desktop,E,0
970Evo,512,F,A,0, B ,A,A,A,A,H,Desktop,A,0
970Evo,1024,F,A,0, B ,A,B,A,A,I,Desktop,A,0
970Evo,1024,F,A,0, A ,A,B,B,A,I,Laptop,A,0
970Evo,512,F,A,0, B ,A,D,A,A,I,Desktop,B,0
970Evo,512,F,A,0, B ,A,A,B,A,I,Desktop,B,0
970Evo,1024,F,A,0, B ,A,B,B,A,H,Laptop,B,0
970Evo,512,F,B,0, B ,A,B,B,A,I,Desktop,B,0
970Evo,512,F,B,0, B ,A,A,B,A,H,Desktop,B,0
970Evo,1024,F,A,0, C ,A,D,C,A,G,Laptop,B,0
970Evo,512,F,B,0, B ,A,C,C,A,H,Desktop,C,0
970Evo,512,F,B,0, B ,A,D,C,A,H,Desktop,C,0
970Evo,1024,F,B,0, C ,A,F,B,A,G,Laptop,C,0
970Evo,1024,F,B,0, A ,A,B,C,A,I,Desktop,D,0
970Evo,512,F,C,0, B ,A,B,C,A,H,Desktop,D,0
970Evo,512,F,C,0, B ,A,F,D,A,H,Desktop,D,0
970Evo,512,F,C,0, B ,A,D,D,A,H,Desktop,D,0
970Evo,1024,F,C,0, C ,A,C,B,A,G,Laptop,D,0
970Evo,512,F,C,0, B ,A,E,F,A,I,Desktop,D,0
970Evo,512,F,C,0, C ,A,E,D,A,G,Desktop,D,0
970Evo,512,F,D,0, B ,A,E,C,A,I,Desktop,E,0
970Evo,512,B,D,0, B ,A,A,I,A,I,Laptop,E,1
970Evo,256,F,F,0, D ,B,H,D,A,E,Desktop,F,0
970Evo,1024,F,D,0, D ,A,G,G,A,F,Laptop,F,0
970Evo,1024,F,E,0, D ,A,G,H,A,E,Desktop,G,0
970Evo,512,F,F,0, C ,A,G,G,A,G,Desktop,G,0
970Evo,256,F,A,0, D ,A,A,A,B,E,Desktop,A,0
970Evo,512,F,A,0, B ,A,J,B,B,I,Desktop,A,0
970Evo,512,F,A,0, B ,A,A,A,B,I,Desktop,A,0
970Evo,1024,F,A,0, A ,A,B,A,B,I,Laptop,A,0
970Evo,512,F,A,0, B ,A,A,A,B,I,Desktop,A,0
970Evo,512,F,A,0, B ,A,A,A,B,H,Desktop,A,0
970Evo,512,F,A,0, B ,A,B,A,B,I,Laptop,A,0
970Evo,512,F,A,0, A ,A,B,B,B,I,Desktop,A,0
970Evo,512,F,A,0, B ,A,A,A,B,H,Desktop,A,0
970Evo,1024,F,A,0, A ,A,C,A,B,I,Desktop,A,0
970Evo,1024,F,A,0, B ,A,A,A,B,H,Desktop,A,0
970Evo,512,F,A,0, B ,A,B,A,B,H,Desktop,B,0
970Evo,1024,F,A,0, B ,A,B,B,B,I,Desktop,B,0
970Evo,1024,F,A,0, B ,A,B,B,B,I,Desktop,B,0
970Evo,512,F,A,0, D ,A,B,A,B,F,Laptop,B,0
970Evo,1024,F,A,0, B ,A,B,C,B,I,Desktop,B,0
970Evo,256,F,B,0, D ,A,B,B,B,E,Desktop,B,0
970Evo,512,F,B,0, B ,A,E,B,B,I,Laptop,B,0
970Evo,512,F,B,0, B ,A,B,B,B,I,Desktop,B,0
970Evo,512,F,B,0, A ,A,B,E,B,I,Desktop,C,0
970Evo,512,F,C,0, B ,A,G,C,B,H,Desktop,C,0
970Evo,256,F,C,0, D ,A,E,D,B,E,Desktop,C,0
970Evo,512,F,B,0, B ,A,E,D,B,H,Desktop,C,0
970Evo,1024,F,B,0, A ,A,C,B,B,I,Desktop,C,0
970Evo,512,F,B,0, B ,A,C,C,B,I,Laptop,C,0
970Evo,1024,F,B,0, B ,A,D,D,B,I,Desktop,C,0
970Evo,1024,F,B,0, B ,A,E,C,B,H,Desktop,C,0
970Evo,512,F,C,0, C ,A,B,D,B,G,Desktop,C,0
970Evo,512,F,C,0, B ,A,E,F,B,I,Desktop,C,0
970Evo,512,F,C,0, C ,A,B,F,B,G,Desktop,D,0
970Evo,1024,F,B,0, B ,A,B,B,B,H,Desktop,D,0
970Evo,512,F,C,0, B ,A,F,C,B,I,Laptop,D,0
970Evo,512,F,C,0, B ,A,F,E,B,H,Laptop,D,0
970Evo,512,F,C,0, C ,A,D,C,B,G,Laptop,D,0
970Evo,512,F,C,0, B ,A,E,D,B,H,Desktop,D,0
970Evo,512,F,D,0, B ,A,C,C,B,H,Desktop,E,0
970Evo,1024,F,C,0, B ,A,G,C,B,I,Desktop,E,0
970Evo,512,F,C,0, B ,A,E,D,B,I,Desktop,E,0
970Evo,1024,F,C,0, B ,A,D,D,B,I,Laptop,E,0
970Evo,1024,F,C,0, B ,A,F,B,B,H,Desktop,E,0
970Evo,1024,F,D,0, A ,A,A,D,B,I,Desktop,E,0
970Evo,1024,F,C,0, B ,A,G,F,B,I,Desktop,E,0
970Evo,1024,F,C,0, B ,A,I,D,B,H,Desktop,E,0
970Evo,512,F,D,0, B ,A,H,D,B,H,Desktop,E,0
970Evo,1024,F,D,0, D ,A,C,C,B,E,Desktop,E,0
970Evo,1024,F,E,0, B ,A,F,D,B,H,Desktop,E,0
970Evo,1024,F,D,0, B ,A,G,D,B,I,Desktop,F,0
970Evo,1024,F,C,0, B ,A,D,E,B,I,Desktop,F,0
970Evo,512,F,D,0, B ,A,D,E,B,I,Desktop,F,0
970Evo,1024,F,D,0, B ,A,B,H,B,I,Desktop,F,1
970Evo,512,F,F,0, D ,A,F,E,B,F,Desktop,G,0
970Evo,512,C,F,0, B ,A,G,H,B,H,Desktop,G,0
970Evo,1024,F,E,0, B ,A,E,E,B,H,Desktop,H,0
970Evo,256,F,H,0, D ,C,J,H,B,E,Laptop,H,0
970Evo,1024,F,G,0, B ,B,F,G,B,I,Desktop,I,0
970Evo,1024,F,A,0, D ,A,C,A,B,E,Desktop,A,0
970Evo,1024,F,A,0, C ,A,B,D,B,G,Desktop,B,0
970Evo,512,F,A,0, B ,A,B,A,B,H,Desktop,B,0
970Evo,1024,F,A,0, B ,A,B,A,B,H,Desktop,B,0
970Evo,512,F,A,0, B ,A,E,B,B,H,Server,B,0
970Evo,1024,F,A,0, B ,A,A,C,B,H,Server,B,1
970Evo,512,F,A,0, B ,A,H,B,B,H,Desktop,B,0
970Evo,512,F,B,0, B ,A,B,B,B,I,Desktop,B,0
970Evo,1024,F,A,0, C ,A,B,B,B,G,Desktop,B,0
970Evo,512,F,B,0, B ,A,B,B,B,I,Desktop,B,0
970Evo,512,F,B,0, B ,A,C,D,B,I,Desktop,B,0
970Evo,512,F,B,0, B ,A,D,B,B,I,Laptop,B,0
970Evo,512,F,B,0, B ,A,A,B,B,I,Desktop,B,0
970Evo,1024,F,A,0, B ,A,C,B,B,I,Desktop,B,0
970Evo,512,F,B,0, B ,A,C,B,B,H,Desktop,B,0
970Evo,512,F,B,0, B ,A,D,B,B,I,Laptop,C,0
970Evo,1024,F,B,0, D ,A,C,B,B,F,Laptop,C,0
970Evo,1024,F,B,0, B ,A,E,B,B,I,Laptop,C,0
970Evo,256,F,C,0, D ,A,D,B,B,E,Desktop,C,0
970Evo,512,F,B,0, B ,A,C,C,B,I,Desktop,C,0
970Evo,1024,F,B,0, B ,A,D,D,B,I,Desktop,C,0
970Evo,512,F,B,0, B ,A,E,C,B,H,Desktop,C,1
970Evo,1024,F,C,0, B ,A,E,C,B,I,Desktop,C,0
970Evo,1024,F,B,0, B ,A,F,C,B,I,Laptop,C,0
970Evo,512,F,B,0, B ,A,A,E,B,H,Desktop,C,0
970Evo,1024,F,B,0, B ,A,C,B,B,H,Desktop,C,0
970Evo,512,F,C,0, C ,A,D,C,B,G,Laptop,C,0
970Evo,1024,F,B,0, B ,A,E,B,B,I,Laptop,C,0
970Evo,512,F,C,0, B ,A,E,E,B,H,Desktop,D,0
970Evo,512,F,C,0, B ,A,D,D,B,I,Desktop,D,0
970Evo,512,F,C,0, B ,A,G,C,B,I,Desktop,D,0
970Evo,256,F,D,0, D ,A,D,C,B,E,Desktop,D,0
970Evo,512,F,C,0, B ,A,D,D,B,H,Desktop,D,0
970Evo,512,F,C,0, B ,A,D,D,B,H,Desktop,D,0
970Evo,1024,F,C,0, B ,A,C,C,B,I,Desktop,D,0
970Evo,512,F,D,0, D ,A,E,D,B,E,Laptop,D,0
970Evo,512,F,C,0, B ,A,E,D,B,I,Desktop,E,0
970Evo,512,F,C,0, B ,A,F,E,B,H,Desktop,E,0
970Evo,512,F,D,0, B ,A,G,D,B,I,Laptop,E,0
970Evo,1024,F,C,0, B ,A,F,D,B,I,Desktop,E,0
970Evo,1024,F,C,0, B ,A,D,D,B,I,Laptop,E,0
970Evo,256,F,F,0, D ,A,E,D,B,E,Desktop,E,0
970Evo,1024,F,C,0, B ,A,F,H,B,I,Desktop,E,1
970Evo,512,F,D,0, B ,A,E,D,B,H,Desktop,E,0
970Evo,256,F,F,0, D ,A,F,F,B,E,Desktop,E,0
970Evo,1024,D,C,0, B ,A,A,G,B,I,Desktop,E,1
970Evo,512,F,D,0, B ,A,E,F,B,I,Desktop,E,0
970Evo,512,F,D,0, B ,A,G,D,B,I,Desktop,E,0
970Evo,1024,F,C,0, B ,A,A,G,B,H,Desktop,E,1
970Evo,512,F,D,0, B ,A,G,F,B,H,Desktop,F,0
970Evo,1024,F,C,0, B ,A,E,E,B,I,Laptop,F,0
970Evo,512,F,E,0, D ,A,F,D,B,E,Desktop,F,0
970Evo,1024,F,C,0, B ,A,E,E,B,I,Desktop,F,0
970Evo,1024,F,D,0, C ,A,F,E,B,G,Laptop,F,0
970Evo,1024,F,C,0, B ,A,F,G,B,H,Laptop,F,0
970Evo,256,F,G,0, D ,B,F,D,B,E,Desktop,F,0
970Evo,1024,F,D,0, C ,A,G,E,B,G,Desktop,F,0
970Evo,512,F,E,0, B ,A,H,D,B,H,Desktop,G,0
970Evo,1024,F,D,0, B ,A,F,F,B,I,Desktop,G,0
970Evo,1024,F,E,0, B ,A,E,F,B,I,Desktop,G,0
970Evo,1024,E,D,0, B ,A,F,G,B,I,Desktop,G,1
970Evo,1024,F,E,0, B ,A,E,H,B,H,Desktop,G,0
970Evo,512,F,F,0, B ,B,E,D,B,H,Desktop,G,0
970Evo,512,F,F,0, C ,A,D,I,B,G,Desktop,G,1
970Evo,512,F,F,0, C ,B,E,H,B,G,Desktop,G,0
970Evo,1024,F,E,0, B ,A,G,H,B,H,Laptop,H,0
970Evo,256,F,H,0, D ,D,G,I,B,E,Laptop,H,0
970Evo,256,F,H,0, D ,D,I,H,B,E,Desktop,H,0
970Evo,512,F,F,0, D ,B,H,G,B,E,Desktop,H,0
970Evo,512,F,G,0, D ,C,I,H,B,E,Desktop,I,0
970Evo,256,F,I,0, D ,E,I,H,B,E,Desktop,I,0
970Evo,1024,F,I,0, B ,E,A,E,B,I,Desktop,J,0
970Evo,512,F,A,0, B ,A,A,A,B,I,Desktop,A,0
970Evo,512,F,A,0, C ,A,H,B,B,F,Desktop,A,0
970Evo,512,F,A,0, B ,A,B,A,B,H,Desktop,A,0
970Evo,512,F,A,0, B ,A,B,A,B,H,Desktop,A,0
970Evo,1024,F,A,0, B ,A,F,G,B,I,Desktop,B,0
970Evo,512,F,A,0, B ,A,C,A,B,H,Desktop,B,0
970Evo,1024,F,A,0, C ,A,C,A,B,G,Desktop,B,0
970Evo,1024,F,A,0, D ,A,H,C,B,E,Laptop,B,0
970Evo,1024,F,A,0, B ,A,C,C,B,I,Desktop,B,0
970Evo,512,F,B,0, B ,A,A,B,B,I,Desktop,B,0
970Evo,512,F,B,0, B ,A,D,C,B,I,Desktop,C,0
970Evo,1024,F,B,0, A ,A,C,F,B,I,Laptop,C,0
970Evo,512,F,C,0, B ,A,D,C,B,H,Desktop,C,0
970Evo,1024,F,B,0, A ,A,B,B,B,I,Laptop,C,0
970Evo,1024,F,B,0, B ,A,E,C,B,H,Desktop,C,0
970Evo,512,F,B,0, B ,A,C,C,B,I,Desktop,C,0
970Evo,1024,F,B,0, B ,A,C,B,B,I,Desktop,C,0
970Evo,1024,F,B,0, B ,A,F,D,B,I,Desktop,C,0
970Evo,512,F,C,0, B ,A,D,C,B,I,Desktop,C,0
970Evo,512,F,B,0, B ,A,E,C,B,H,Desktop,C,0
970Evo,1024,F,B,0, B ,A,E,D,B,H,Desktop,C,0
970Evo,512,F,C,0, C ,A,D,C,B,G,Laptop,D,0
970Evo,1024,F,C,0, C ,A,E,D,B,G,Laptop,D,0
970Evo,1024,F,C,0, B ,A,C,C,B,I,Desktop,D,0
970Evo,1024,F,C,0, B ,A,F,C,B,H,Desktop,D,0
970Evo,512,F,C,0, B ,A,G,D,B,H,Desktop,D,0
970Evo,256,F,E,0, D ,A,C,G,B,E,Desktop,D,0
970Evo,512,F,D,0, C ,A,G,C,B,G,Laptop,D,0
970Evo,512,F,C,0, D ,A,F,D,B,E,Desktop,E,0
970Evo,512,F,C,0, B ,A,A,F,B,I,Desktop,E,0
970Evo,256,F,F,0, D ,A,H,C,B,E,Desktop,E,0
970Evo,512,F,C,0, B ,A,E,E,B,I,Desktop,E,0
970Evo,512,F,D,0, B ,A,F,E,B,I,Desktop,E,0
970Evo,1024,F,C,0, D ,A,D,C,B,E,Desktop,E,0
970Evo,512,F,D,0, D ,A,F,C,B,E,Laptop,E,0
970Evo,1024,F,C,0, B ,A,C,F,B,H,Desktop,E,0
970Evo,512,F,D,0, C ,A,H,F,B,G,Desktop,E,0
970Evo,1024,F,C,0, B ,A,D,C,B,H,Desktop,E,0
970Evo,512,F,E,0, C ,A,G,E,B,F,Laptop,E,0
970Evo,512,F,D,0, B ,A,H,E,B,H,Desktop,F,0
970Evo,256,F,G,0, D ,B,F,E,B,E,Desktop,F,0
970Evo,1024,F,C,0, C ,A,G,D,B,G,Laptop,F,0
970Evo,1024,F,D,0, D ,A,F,E,B,E,Desktop,F,0
970Evo,256,F,F,0, D ,B,I,H,B,E,Laptop,F,0
970Evo,512,F,E,0, B ,A,E,F,B,H,Laptop,F,0
970Evo,512,F,E,0, B ,A,A,I,B,H,Desktop,G,0
970Evo,512,F,F,0, B ,B,F,F,B,H,Laptop,G,0
